기간,자치구,동,합계
2015,합계,합계,"5,921"
2015,종로구,소계,260
2015,종로구,사직동,18
2015,종로구,삼청동,4
2015,종로구,부암동,7
2015,종로구,평창동,17
2015,종로구,무악동,3
2015,종로구,교남동,8
2015,종로구,가회동,3
2015,종로구,종로1.2.3.4가동,69
2015,종로구,종로5·6가동,13
2015,종로구,이화동,17
2015,종로구,창신1동,16
2015,종로구,창신2동,17
2015,종로구,창신3동,6
2015,종로구,숭인1동,7
2015,종로구,숭인2동,23
2015,종로구,청운효자동,17
2015,종로구,혜화동,15
2015,중구,소계,237
2015,중구,소공동,8
2015,중구,회현동,19
2015,중구,명동,21
2015,중구,필동,21
2015,중구,장충동,3
2015,중구,광희동,33
2015,중구,을지로동,15
2015,중구,신당5동,10
2015,중구,황학동,16
2015,중구,중림동,14
2015,중구,신당동,20
2015,중구,다산동,12
2015,중구,약수동,10
2015,중구,청구동,16
2015,중구,동화동,19
2015,용산구,소계,187
2015,용산구,후암동,8
2015,용산구,용산2가동,8
2015,용산구,남영동,14
2015,용산구,원효로2동,4
2015,용산구,효창동,9
2015,용산구,용문동,4
2015,용산구,이촌1동,14
2015,용산구,이촌2동,1
2015,용산구,이태원1동,25
2015,용산구,이태원2동,12
2015,용산구,서빙고동,6
2015,용산구,보광동,15
2015,용산구,청파동,17
2015,용산구,원효로1동,12
2015,용산구,한강로동,16
2015,용산구,한남동,22
2015,성동구,소계,197
2015,성동구,왕십리2동,8
2015,성동구,마장동,20
2015,성동구,사근동,11
2015,성동구,행당1동,12
2015,성동구,행당2동,7
2015,성동구,응봉동,6
2015,성동구,금호1가동,9
2015,성동구,금호4가동,5
2015,성동구,성수1가1동,16
2015,성동구,성수1가2동,13
2015,성동구,성수2가1동,13
2015,성동구,성수2가3동,23
2015,성동구,송정동,15
2015,성동구,용답동,14
2015,성동구,왕십리도선동,9
2015,성동구,금호2.3가동,6
2015,성동구,옥수동,10
2015,광진구,소계,241
2015,광진구,화양동,37
2015,광진구,군자동,22
2015,광진구,중곡1동,8
2015,광진구,중곡2동,13
2015,광진구,중곡3동,8
2015,광진구,중곡4동,20
2015,광진구,능동,6
2015,광진구,구의1동,17
2015,광진구,구의2동,18
2015,광진구,구의3동,12
2015,광진구,광장동,8
2015,광진구,자양1동,12
2015,광진구,자양2동,15
2015,광진구,자양3동,15
2015,광진구,자양4동,30
2015,동대문구,소계,223
2015,동대문구,회기동,12
2015,동대문구,휘경1동,9
2015,동대문구,휘경2동,8
2015,동대문구,청량리동,9
2015,동대문구,용신동,34
2015,동대문구,제기동,24
2015,동대문구,전농1동,18
2015,동대문구,전농2동,8
2015,동대문구,답십리1동,13
2015,동대문구,답십리2동,10
2015,동대문구,장안1동,25
2015,동대문구,장안2동,22
2015,동대문구,이문1동,22
2015,동대문구,이문2동,9
2015,중랑구,소계,175
2015,중랑구,면목2동,15
2015,중랑구,면목4동,2
2015,중랑구,면목5동,3
2015,중랑구,면목7동,8
2015,중랑구,상봉1동,11
2015,중랑구,상봉2동,15
2015,중랑구,중화1동,7
2015,중랑구,중화2동,25
2015,중랑구,묵1동,13
2015,중랑구,묵2동,5
2015,중랑구,망우3동,9
2015,중랑구,신내1동,12
2015,중랑구,신내2동,3
2015,중랑구,면목본동,11
2015,중랑구,면목3.8동,11
2015,중랑구,망우본동,25
2015,성북구,소계,151
2015,성북구,돈암1동,4
2015,성북구,돈암2동,3
2015,성북구,안암동,6
2015,성북구,보문동,4
2015,성북구,정릉1동,6
2015,성북구,정릉2동,7
2015,성북구,정릉3동,8
2015,성북구,정릉4동,6
2015,성북구,길음1동,7
2015,성북구,길음2동,8
2015,성북구,월곡1동,6
2015,성북구,월곡2동,6
2015,성북구,장위1동,11
2015,성북구,장위2동,7
2015,성북구,장위3동,4
2015,성북구,성북동,9
2015,성북구,삼선동,9
2015,성북구,동선동,16
2015,성북구,종암동,14
2015,성북구,석관동,10
2015,강북구,소계,178
2015,강북구,번1동,22
2015,강북구,번2동,7
2015,강북구,번3동,7
2015,강북구,수유1동,15
2015,강북구,수유2동,9
2015,강북구,수유3동,22
2015,강북구,삼양동,15
2015,강북구,미아동,13
2015,강북구,송중동,21
2015,강북구,송천동,17
2015,강북구,삼각산동,12
2015,강북구,우이동,8
2015,강북구,인수동,10
